message_id,action,message_type,reason,confidence,evidence_message_ids
msg_079,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.93,message_0213
msg_098,notify,urgent,The sender directly asks this user for a response or action.,0.91,message_0226;message_0168
msg_037,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.91,message_0269;message_0130
msg_007,digest,event,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.88,message_0070;message_0069
msg_085,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.93,message_0221;message_0369
msg_001,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.91,message_0057;message_0240
msg_021,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.88,message_0130;message_0190
msg_028,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.91,message_0034;message_0112
msg_012,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.91,message_0247;message_0194
msg_064,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.93,message_0087;message_0183
msg_103,notify,urgent,The sender directly asks this user for a response or action.,0.91,message_0065;message_0382
msg_031,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.91,message_0249;message_0118
msg_057,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.91,message_0169;message_0003
msg_087,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.91,message_0223;message_0204
msg_067,notify,urgent,The sender directly asks this user for a response or action.,0.89,message_0029;message_0068
msg_039,notify,urgent,The sender directly asks this user for a response or action.,0.91,message_0037;message_0051
msg_082,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.91,message_0218;message_0380
msg_066,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.91,message_0402;message_0188
msg_049,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.91,message_0154;message_0291
msg_015,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.93,message_0085;message_0199
msg_051,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.91,message_0257;message_0103
msg_097,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.91,message_0054;message_0167
msg_089,notify,urgent,The sender directly asks this user for a response or action.,0.8,none
msg_053,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.88,message_0411;message_0253
msg_059,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.88,message_0213;message_0053
msg_024,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.91,message_0257;message_0103
msg_072,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.91,message_0085;message_0199
msg_036,mute,scam,"Similar historical messages were ignored, dismissed, or muted by this user.",0.93,message_0283;message_0127
msg_076,mute,scam,"Similar historical messages were ignored, dismissed, or muted by this user.",0.93,message_0208;message_0207
msg_055,notify,urgent,A close contact sent a short urgent request that should interrupt the user.,0.91,message_0166;message_0387
msg_102,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.91,message_0371;message_0230
msg_080,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.91,message_0130;message_0190
msg_093,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.82,message_0349;message_0348
msg_034,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.91,message_0013;message_0077
msg_035,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.85,message_0281;message_0125
msg_101,digest,personal,The message is safe casual chat with no urgent action required.,0.88,message_0370;message_0268
msg_041,digest,business_update,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,message_0137;message_0138
msg_011,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.91,message_0014;message_0013
msg_110,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.93,message_0238;message_0381
msg_095,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.93,message_0087;message_0183
msg_074,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.93,message_0203;message_0204
msg_073,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.91,message_0087;message_0184
msg_054,mute,scam,"Similar historical messages were ignored, dismissed, or muted by this user.",0.91,message_0164;message_0389
msg_068,digest,personal,The message is safe casual chat with no urgent action required.,0.88,message_0191;message_0192
msg_100,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.91,message_0228;message_0362
msg_062,digest,event,"The message is useful group information, but it is not urgent enough to interrupt the user during do-not-disturb hours.",0.85,message_0043;message_0130
msg_096,notify,urgent,The sender directly asks this user for a response or action.,0.88,message_0353
msg_043,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0130;message_0269
msg_077,digest,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.91,message_0403;message_0051
msg_081,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.89,message_0217
msg_025,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,message_0004;message_0239
msg_084,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.91,message_0220;message_0391
msg_022,mute,scam,"Similar historical messages were ignored, dismissed, or muted by this user.",0.93,message_0151;message_0152
